t height
1 0.2
2 0.550972
3 3.110788
4 5.035953
5 5.310012
6 3.434758
7 9.209121
8 3.500159
9 5.640435
10 10.19570
11 10.92452
12 9.345513
13 13.34250
14 9.766047
15 13.99749
16 16.81721
17 16.90761
18 25.22088
19 23.13437
20 20.58883
21 25.5856
22 26.64598
23 40.2979
24 40.57646
25 37.21003
26 38.66557
27 42.23891
28 45.91136
29 49.1155
30 42.15035
31 43.91314
32 50.24654
33 47.3047
34 50.32399
35 51.99644
36 49.39387
37 53.95014
38 45.61083
39 47.00792
40 47.85153
41 46.51622
42 45.52084
43 52.74633
44 48.96772
45 47.8704
46 53.52663
47 47.9621
48 50.00384
49 47.59095
50 52.2298
