Canada US
76.97203 65.71819
81.93005 66.84723
10.28757 72.77606
46.53123 73.58473
84.9476 69.39871
91.49327 67.56986
45.4208 71.57007
48.49055 65.10214
74.46008 63.34076
89.44517 71.82348
76.35196 62.37042
78.26503 71.44686
43.43587 62.32819
54.2919 71.52563
49.19637 64.38735
77.86993 66.11336
68.45665 75.35511
85.30704 67.26076
107.2627 72.18155
87.49982 70.73481
59.3758 74.22746
104.7940 64.42946
77.58093 70.44878
83.48124 65.9018
57.42776 66.22887
85.61557 61.76221
54.60568 73.59683
32.06265 68.53207
37.90594 64.52083
93.18476 74.59507
47.36931 79.51543
90.60581 77.31957
80.77696 62.89537
82.67845 77.64112
53.53192 72.3814
51.58671 59.25923
28.95473 65.63279
77.00984 73.8307
35.94798 71.76344
35.96238 72.2272
70.21614 70.38777
63.40416 64.79948
90.61615 68.61543
109.4332 65.26773
38.80322 77.5531
57.18042 61.87569
44.26968 72.74478
6.780787 75.87815
84.08574 68.3055
72.80449 68.63948
59.39872 71.63996
67.53242 67.19
82.47658 72.01224
81.04634 72.1009
50.56832 75.21945
15.47145 62.60472
94.19566 67.48466
39.90796 73.76562
93.99045 77.86371
69.30916 69.54561
91.2338 75.83243
56.74216 61.08572
87.39334 66.01869
55.50159 59.36347
69.7283 66.80645
67.18282 57.13115
58.49333 60.71688
64.017 76.74675
61.05171 71.23923
69.19136 66.35301
22.83823 72.38831
71.29502 63.04627
58.09069 75.19135
74.52523 75.51897
44.92474 65.63971
84.2346 66.29252
54.46907 63.66657
74.0411 65.4032
69.10883 74.43947
88.78766 63.27804
53.34 72.99844
61.5223 66.51039
7.260062 69.39116
105.4249 77.31849
36.41064 73.69178
21.53567 65.93512
42.86812 68.92336
48.35367 53.18675
73.21068 63.68953
75.4926 79.67048
NA 71.48828
NA 71.18937
NA 63.76111
NA 69.72101
NA 79.73981
NA 75.97058
NA 68.51689
NA 71.2432
NA 79.45313
NA 73.08269
